River_Width,Indust_Areas,River_Slantness,Area_Type,Bed_soil_Saltness,Flow_Diverters,Length_of_Staritness,No_of_Streams_Mixing,No_of_River_Deep_Bends,Clayey_Soil_Presence,Mo_of_ExtractingPoints,River_Curvature,Sanity_Level,PH_Level,Dissolved_Oxygen,Zinc_Level,Normalized_carbon,Flourides_Presence,Water_Quality
1367.81,1,1.53,1,0.2079,1,578.23,22,1,90.3827,13,55.62,6.75,8.9,13.1,3.4,2,1,1
2003.15,0,2.59,0,0.0137,0,1433.05,12,0,65.8742,6,5,1.31,7.2,14.2,1.4,0,0,0
2176.88,0,2.7,0,0.0213,0,1402.55,3,0,3.2274,2,13.06,2.33,7.1,14.5,1.4,1,0,0
125.07,2,0.25,2,0.4993,2,202.54,49,2,214.1973,18,146.2,20.25,5.2,11.6,5.7,3,1,2
1764.45,1,1.66,1,0.0562,1,755.98,26,1,109.8859,10,47.29,5.46,8.7,12.4,3.2,2,1,1
150.25,2,0.29,2,0.3491,2,214.07,50,2,234.5082,17,200.39,11.92,5.7,11.7,5.8,3,1,2
2960.06,0,3.37,0,0.0368,0,1944.65,10,0,11.8541,0,5.76,1.87,7.3,14.1,1.1,0,0,0
532.33,2,0.29,2,0.3801,2,405.73,48,2,240.8542,17,197.59,11.94,5.3,12,4.3,3,1,2
1457.9,1,2.1,1,0.083,1,544.19,35,1,170.7999,15,54.35,7.14,7.9,13.3,3.7,2,1,1
140.25,2,0.52,2,0.4984,2,82.42,42,2,279.7352,20,169.47,11.14,6.2,10.5,4.9,3,1,2
872.72,2,0.66,2,0.3487,2,264.54,44,2,297.3227,19,143.05,11.3,6.2,11.2,4.2,3,1,2
2914.14,0,3.02,0,0.0199,0,1687.92,3,0,5.8341,3,6.22,1.44,6.7,15.7,0,1,0,0
973.85,2,0.58,2,0.3054,2,346.29,49,2,271.8584,16,237.47,14.89,5,11.1,5.4,3,1,2
965.97,2,0.04,2,0.3951,2,445.62,45,2,205.4787,18,229.15,29.05,5.2,11.1,4.8,3,1,2
2178.18,0,3.49,0,0.0018,0,1718.72,18,0,56.404,4,7.41,1.03,7,15.6,0.4,1,0,0
262.35,2,0.12,2,0.4957,2,137.83,47,2,276.9208,18,205.32,28.42,6.3,10.8,5.1,3,1,2
2198.91,0,3.54,0,0.034,0,1526.67,16,0,47.5677,2,16.67,3.62,7.3,14.6,0.8,0,0,0
976.78,2,0.36,2,0.4275,2,123.14,46,2,292.5373,17,173.17,23.38,5.3,11.7,5,3,1,2
496.75,2,0.87,2,0.4486,2,471.74,49,2,219.5059,18,179,10.99,5.3,12,4.5,3,1,2
2102.06,0,3.78,0,0.0059,0,1921.77,3,0,14.9947,3,15.8,1.87,7,15.3,1,1,0,0
756.08,2,0.16,2,0.3062,2,370.06,50,2,219.0918,21,248.08,13.57,5.9,10.8,5.3,3,1,2
2929.26,0,2.94,0,0.0216,0,1603.98,4,0,21.1178,0,19.86,3.17,7.3,14.4,0.4,0,0,0
